,symbol,description,type,exchange,currency_code,currency-logoid,base-currency-logoid,provider_id,source2,source_id,typespecs,prefix,logoid,params,contracts
0,BTCUSDT,Bitcoin / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCBTC,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
1,BTCUSD,Bitcoin / U.S. dollar,spot,Bitstamp,USD,country/US,crypto/XTVCBTC,bitstamp,"{'id': 'BITSTAMP', 'name': 'Bitstamp', 'description': 'Bitstamp'}",BITSTAMP,['crypto'],BITSTAMP,,,
2,BTCUSD,Bitcoin / US Dollar,spot,Coinbase,USD,country/US,crypto/XTVCBTC,coinbase,"{'id': 'COINBASE', 'name': 'Coinbase', 'description': 'Coinbase'}",COINBASE,['crypto'],COINBASE,,,
3,BTCUSDT.P,Bitcoin / TetherUS PERPETUAL CONTRACT,swap,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCBTC,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'perpetual']",BINANCE,,,
4,SOLUSDT,SOL / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCSOL,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
5,BTCUSD,Bitcoin all time history index,index,INDEX,USD,country/US,crypto/XTVCBTC,tvc,"{'id': 'INDEX', 'name': 'INDEX', 'description': 'INDEX'}",INDEX,"['crypto', 'synthetic']",,,,
6,ETHUSDT,Ethereum / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCETH,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
7,BTCUSDT.P,BTCUSDT Perpetual Contract,swap,Bybit,USDT,crypto/XTVCUSDT,crypto/XTVCBTC,bybit,"{'id': 'BYBIT', 'name': 'Bybit', 'description': 'Bybit'}",BYBIT,"['crypto', 'perpetual']",BYBIT,,,
8,BTC.D,"Market Cap BTC Dominance, %",index,CRYPTOCAP,,,,tvc,"{'id': 'CRYPTOCAP', 'name': 'Crypto Market Capitalization', 'description': 'Crypto Market Capitalization'}",CRYPTOCAP,"['crypto', 'synthetic']",,crypto/XTVCBTC,,
9,BTCUSD,Bitcoin,spot,CRYPTO,USD,country/US,crypto/XTVCBTC,tvc,"{'id': 'CRYPTO', 'name': 'Crypto assets', 'description': 'Crypto assets'}",CRYPTO,"['crypto', 'cryptoasset', 'synthetic']",,,,
10,SOLUSD,Solana / US Dollar,spot,Coinbase,USD,country/US,crypto/XTVCSOL,coinbase,"{'id': 'COINBASE', 'name': 'Coinbase', 'description': 'Coinbase'}",COINBASE,['crypto'],COINBASE,,,
11,ETHUSD,Ethereum / US Dollar,spot,Coinbase,USD,country/US,crypto/XTVCETH,coinbase,"{'id': 'COINBASE', 'name': 'Coinbase', 'description': 'Coinbase'}",COINBASE,['crypto'],COINBASE,,,
12,DOGEUSDT,Dogecoin / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCDOGE,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
13,BTCUSD,Bitcoin / US Dollar,spot,Binance,USD,country/US,crypto/XTVCBTC,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'tv-calculated-pair', 'synthetic']",BINANCE,,,
14,ETHUSD,Ethereum / U.S. dollar,spot,Bitstamp,USD,country/US,crypto/XTVCETH,bitstamp,"{'id': 'BITSTAMP', 'name': 'Bitstamp', 'description': 'Bitstamp'}",BITSTAMP,['crypto'],BITSTAMP,,,
15,USDT.D,"Market Cap USDT Dominance, %",index,CRYPTOCAP,,,,tvc,"{'id': 'CRYPTOCAP', 'name': 'Crypto Market Capitalization', 'description': 'Crypto Market Capitalization'}",CRYPTOCAP,"['crypto', 'synthetic']",,crypto/XTVCUSDT,,
16,SUIUSDT,SUI / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCSUI,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
17,BTCUSD.P,BTCUSD Perpetual Contract,swap,Bybit,USD,country/US,crypto/XTVCBTC,bybit,"{'id': 'BYBIT', 'name': 'Bybit', 'description': 'Bybit'}",BYBIT,"['crypto', 'perpetual']",BYBIT,,,
18,ETHUSDT.P,Ethereum / TetherUS PERPETUAL CONTRACT,swap,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCETH,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'perpetual']",BINANCE,,,
19,SOLUSDT.P,SOL / TetherUS PERPETUAL CONTRACT,swap,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCSOL,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'perpetual']",BINANCE,,,
20,XRPUSDT,XRP / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCXRP,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
21,ETHBTC,Ethereum / Bitcoin,spot,Binance,BTC,crypto/XTVCBTC,crypto/XTVCETH,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
22,TOTAL,"Crypto Total Market Cap, $",index,CRYPTOCAP,USD,,,tvc,"{'id': 'CRYPTOCAP', 'name': 'Crypto Market Capitalization', 'description': 'Crypto Market Capitalization'}",CRYPTOCAP,"['crypto', 'synthetic']",,crypto-total-market-cap,,
