,0
0,TORN/USD
1,ZRO/USDT
2,GOAT/SOL
3,MTT/USD
4,DEAI/USD
5,NEIROCTO/USD
6,PAAL/USD
7,USDe/USD
8,ZEN/USD
9,WR/USD
10,HIGH/USD
11,SCA/USD
12,SOLDEX/USD
13,GLXY/USD
14,MRS/USD
15,CROWN/USD
16,MFS/USD
17,MUBI/USD
18,TRU/USD
19,KOBASU/ETH
20,NeiroCTO/USDT
21,SHIT/USD
22,ECO/USD
23,STON/TON
24,BITF/USD
25,WBTC/USD
26,NCT/USD
27,SAT/USD
28,MVT/PROB
29,GRAIL/USD
30,OMNI/USD
31,KARATE/USD
32,VIC/USD
33,XCAD/USD
34,DF/USD
35,BTC/EUR
36,FXS/USD
37,SOE/USD
38,BET/USD
39,SWELL/USD
40,KASPA/USD
41,INJ/USDT
42,STRK/USD
43,SLF/USD
44,PROPS/USD
45,3AC/USD
46,CAM/USD
47,CUTO/USD
48,MNGO/USD
49,DARE/USD
50,ARW/KRW
51,MTL/USD
52,HKDA/HKD
53,ORCA/USD
54,ETHFI/USDC
55,SPX/USDC
56,WETH/ETH
57,JETTON/TON
58,UNITY/USD
59,PEPE/FDUSD
60,PRCL/USD
61,GIKO/USD
62,LIVE/USD
63,BETA/USD
64,TURBOS/USD
65,AIT/USD
66,LILLIAN/USD
67,XYM/USD
68,MEW/ETH
69,LUNEX/USD
70,HERO/USD
71,FART/USD
72,TOMA/USD
73,JBT/USD
74,CHEF/USD
75,ECOX/USD
76,DHT/USD
77,PHIL/USD
78,APE/BTC
79,FBTC/USD
80,KCS/BTC
81,fGLD/USD
82,RXS/USD
83,AWT/USD
84,CAW/USD
85,COIN/USD
86,ILV/USD
87,XRP/ETH
88,XLM/ETH
89,ASM/USD
90,FIG/USD
91,CGPT/USD
92,CERE/USD
93,CHASM/USD
94,EVA/BTC
95,TERRA/USD
96,TRX/USDT
97,LIQUID/USD
98,CAKE/USD
99,LIMO/USD
100,ANY/USD
101,AMINO/USD
102,GOOG/USD
103,EXTRA/USD
104,CELL/USD
105,SCRT/USD
106,MAGA/USD
107,MTAUR/USD
108,OMOCI/USD
109,UMA/USD
110,FIL/BNB
111,PENDLE/USDC
112,USD/NZD
113,MXI/USD
114,XSGD/SGD
115,GALA/ETH
116,OP/BTC
117,RABOO/USD
118,PUPS/USD
119,KHAI/USD
120,INSUR/USD
121,PLU/USD
122,MIGGLES/USD
123,HNT/USD
124,CAD/USD
125,USDO/USDC
126,SOLV/USD
127,SOL/JPY
128,VIRTUAL/USD
129,MPEPE/USD
130,XPT/USD
131,BNB/DAI
132,GFAL/USD
133,NZD/JPY
134,ZCX/USD
135,FIO/USD
136,CTXC/USD
137,BBTC/BTC
138,APE/USD
139,LOCK/USD
140,PAY/USD
141,ONDO/USD
142,MYRO/USD
143,GUSD/USD
144,LYX/USD
145,ATOR/USD
146,GEGG/USDT
147,SFP/USD
148,DRINK/USD
149,SHC2.0/USD
150,TET/USD
151,JASMY/USD
152,JPY/UNKNOWN
153,ETHENA/USD
154,WEMIX/USD
155,BABYLON/USD
156,MAGNET/USD
157,ORB/USDT
158,ZEUS/USD
159,INCEPT/USD
160,XAI/USD
161,POLY/USD
162,VINU/USD
163,PUMA/USD
164,YETIO/USD
165,BRLA/BRL
166,DETH/ETH
167,SWFTC/USDC
168,EVAL/USDT
169,HMSTR/BNB
170,POD/USD
171,CREAM/USD
172,SHIB/USDT
173,SUI/KRW
174,RVF/USD
175,ATOM/BNB
176,SUNDOG/USD
177,KP3R/USD
178,ETH/AED
179,AURORA/USD
180,ZYN/USD
181,LEO/USD
182,BORING/USDC
183,SUI/USDC
184,FRAX/USD
185,EDEN/USD
186,BMEX/USD
187,PDA/BTC
188,SPEC/USD
189,MAD/USD
190,W3GG/USD
191,RWA/USD
192,PROB/USD
193,COCO/USD
194,NEIRO/USDT
195,UNKNOWN/USD
196,MX/USD
197,TAO/USD
198,ONDO/USDT
199,DOGEN/SOL
200,GALA/USD
201,MCADE/USD
202,BSV/USD
203,CAT/USD
204,VANRY/USD
205,SANTOS/USD
206,JOE/USDC
207,PELL/USD
208,ALEO/USD
209,KOBASU/USD
210,PRIME/USD
211,SAITO/USD
212,KLAY/USD
213,REEF/USDT
214,W/FDUSD
215,BTC/XAU
216,XEM/USD
217,XSGD/USD
218,GBP/USD
219,BTC/RUB
220,DADDY/USD
221,cbBTC/USD
222,INTL/USD
223,DOGIZEN/USD
224,ANYONE/USD
225,YGG/USD
226,USTC/USD
227,HACHIKO/USD
228,XLM/BTC
229,ARIA/USD
230,BABYTRUMP/USD
231,SUPER/ETH
232,RDT/USD
233,ZFI/USD
234,TON/BTC
235,KISHU/USD
236,PAW/USD
237,USD/IDR
238,CORE/USD
239,SOLAR/USDT
240,RABT/USD
241,SUKU/USD
242,NOT/ETH
243,XMR/BTC
244,BERA/USD
245,ARTIC/SOL
246,UXLINK/USD
247,DOGE/KRW
248,BICO/BUSD
249,ANDY/USD
250,USDC/BRL
251,BAL/USD
252,kBTC/BTC
253,XAU/SAR
254,PENG/USD
255,BASED/USD
256,BAD/USD
257,SHLD/USD
258,SHOPX/USD
259,AETHIR/USD
260,FTON/USD
261,BONK/USD
262,ROCKY/USD
263,PYTH/USD
264,SEED/USD
265,VITALIK/ETH
266,ETH/KRW
267,SOON/USD
268,UBQT/USD
269,UNIO/USDT
270,JESUS/USD
271,IRIS/USD
272,MEME/USD
273,SWAN/USD
274,MYR/USD
275,TERMINUS/USD
276,SD/USD
277,FLOCKR/USD
278,PEOPLE/BUSD
279,TRYB/TRY
280,FLOW/ETH
281,BRETT/BTC
282,GBP/CAD
283,ITO/ETH
284,BTC/AUD
285,STORJ/USD
286,AVAX/BTC
287,SPARK/USD
288,SUI/BTC
289,RETH/USD
290,UNI/BTC
291,POLS/USD
292,COGA/USD
293,ATLETA/USD
294,WLTQ/SOL
295,SOL/BTC
296,USD/SGD
297,WLD/USD
298,JUP/USDC
299,DMT/USD
300,CGV/USD
301,FOREST/USD
302,LISTA/USD
303,SEAM/USD
304,INJ/ETH
305,POL/USD
306,W/KRW
307,BEAM/USD
308,GENKI/SOL
309,ETHW/USD
310,ILV/USDT
311,ENA/ETH
312,AXL/USD
313,VADER/XRP
314,BILLY/SOL
315,SPK/USD
316,POND/USD
317,ALICE/USD
318,REZ/USD
319,FLR/ETH
320,MEMEFI/USDT
321,GHO/USD
322,ATL/USD
323,ETH/DAI
324,LAI/USD
325,ICP/ETH
326,PUFFER/USDT
327,BAND/USD
328,MOONDENG/USD
329,FWT/TON
330,DXY/USD
331,SIS/USD
332,INF/USD
333,STC/USD
334,WELSH/USD
335,NEIRO/ETH
336,FIDA/USD
337,AR/USD
338,GRASS/USD
339,N3/USD
340,AUSD/USD
341,BUSD/USD
342,GRT/KRW
343,XBORG/USD
344,SHARP/USD
345,INST/USD
346,USDS/USD
347,CATI/USDT
348,SAND/USD
349,VGX/USD
350,MBAG/USD
351,CBET/USD
352,AVL/USD
353,UNITS/USD
354,BNT/USD
355,ETH/USDT
356,HBAR/BTC
357,HYVE/USD
358,HAM/USD
359,DTC/USD
360,SCR/USD
361,WIFU/USDT
362,AXS/BTC
363,ETH/AUD
364,MOODENG/ETH
365,NAVX/USD
366,XAND/USD
367,FUEL/USD
368,FXRP/USD
369,LOKA/USD
370,SATO/ETH
371,ORN/USD
372,RENDER/BTC
373,ZANO/USD
374,BST/USD
375,TCAT/TON
376,ATS/USD
377,BOINK/USD
378,TREZ/USD
379,SEI/ETH
380,BTC/ADA
381,AERO/ETH
382,AUD/NZD
383,GALA/BTC
384,KEROSO/USD
385,LINK/USD
386,SOLVBTC/BTC
387,PLT/APT
388,ETH/INR
389,KONG/SUI
390,BTCB/BTC
391,COS/USDT
392,PEOPLE/BTC
393,PESTO/USD
394,XAU/PHP
395,PORTAL/USD
396,FLOW/BTC
397,MBC/USDT
398,META/USD
399,dETH/USD
400,AEVO/USD
401,TFS/USD
402,KROMA/USD
403,UXP/USD
404,WULF/USD
405,BTC/JPY
406,MOCA/USD
407,DeFi/USD
408,PLT/USD
409,TCATI/ETH
410,UNI/USD
411,TRX/USD
412,IBIT/USD
413,FLOW/USD
414,GT/USD
415,NOT/USDT
416,EWT/USD
417,KABOSU/ETH
418,CTSI/USD
419,XMR/USD
420,LHUNT/USD
421,STARK/USD
422,HMSTRUSDTU24/USD
423,BRL/MXN
424,XLM/USD
425,TRIAS/USD
426,WOO/KRW
427,RBN/USD
428,ROOT/USD
429,bbSOL/USD
430,JUP/USDT
431,SQUID/USD
432,VZZN/USD
433,ALB/USD
434,TURBO/USD
435,CRAZY/USD
436,MEW/EUR
437,AIOZ/USD
438,KLAY/USDT
439,CHEEMS/USD
